wavelength_nm,intensity,element
926.620700,79.113000,Th
927.627310,32.649000,Th
928.956240,56.244000,Th
929.153130,24.000000,Ar
934.070520,22.064000,Th
935.421980,28.000000,Ar
938.327220,28.529000,Th
939.908910,344.857000,Th
943.159960,20.419000,Th
946.102780,77.689000,Th
946.719530,58.328000,Th
947.068180,49.972000,Th
947.487920,152.925000,Th
949.549790,103.430000,Th
949.718900,146.876000,Th
950.539290,26.952000,Th
956.124520,37.317000,Th
962.956930,31.422000,Th
963.264390,53.264000,Th
965.778630,36.000000,Ar
966.469830,58.500000,Th
970.056300,92.345000,Th
974.646280,207.199000,Th
978.450280,31.000000,Ar
981.269760,77.880000,Th
982.644960,186.188000,Th
983.342320,210.983000,Th
991.007500,44.848000,Th
998.505000,25.159000,Th
998.763510,39.958000,Th
1003.936400,51.311000,Th
1008.378530,29.111000,Th
1008.913500,61.982000,Th
1013.356610,21.480000,Th
1014.139690,36.755000,Th
1025.736890,26.300000,Th
1025.816670,35.053000,Th
1047.005350,28.000000,Ar
1049.225780,24.206000,Th
1049.483990,26.836000,Th
1049.849200,21.508000,Th
